staff_id,task_id,pref_score
S024,T0080,0.617
S014,T0080,0.609
S067,T0080,0.889
S062,T0080,0.924
S051,T0080,0.727
S006,T0080,0.857
S072,T0080,0.86
S031,T0080,0.63
S057,T0080,0.648
S042,T0080,0.67
S025,T0081,0.8
S017,T0081,0.746
S042,T0081,0.835
S027,T0081,0.66
S037,T0081,0.629
S063,T0081,0.653
S062,T0081,0.739
S022,T0081,0.61
S040,T0081,0.657
S057,T0081,0.907
S060,T0081,0.878
S054,T0081,0.66
S010,T0081,0.897
S030,T0081,0.923
S007,T0081,0.913
S052,T0081,0.776
S059,T0082,0.669
S028,T0082,0.623
S060,T0082,0.913
S051,T0082,0.654
S021,T0082,0.876
S068,T0082,0.832
S078,T0082,0.868
S040,T0082,0.631
S013,T0082,0.664
S014,T0082,0.949
S048,T0082,0.715
S073,T0082,0.752
S041,T0082,0.823
S032,T0082,0.665
S026,T0082,0.667
S009,T0082,0.636
S022,T0083,0.789
S012,T0083,0.629
S020,T0083,0.891
S006,T0083,0.862
S037,T0083,0.86
S050,T0083,0.941
S004,T0083,0.724
S021,T0083,0.812
S061,T0083,0.659
S019,T0083,0.723
S031,T0083,0.71
S058,T0083,0.693
S026,T0083,0.855
S042,T0083,0.624
S017,T0083,0.727
S015,T0083,0.924
S023,T0084,0.875
S068,T0084,0.644
S037,T0084,0.848
S016,T0084,0.717
S056,T0084,0.616
S067,T0084,0.669
S063,T0084,0.654
S035,T0084,0.715
S044,T0084,0.911
S062,T0084,0.688
S046,T0084,0.661
S038,T0084,0.94
S011,T0084,0.631
S058,T0084,0.703
S077,T0084,0.756
S066,T0084,0.925
S018,T0085,0.608
S032,T0085,0.883
S005,T0085,0.909
S072,T0085,0.908
S006,T0085,0.663
S078,T0085,0.72
S062,T0085,0.934
S073,T0085,0.675
S069,T0085,0.623
S034,T0085,0.917
S002,T0085,0.607
S064,T0085,0.623
S053,T0085,0.934
S068,T0085,0.707
S055,T0085,0.728
S045,T0085,0.822
S017,T0086,0.744
S014,T0086,0.734
S070,T0086,0.687
S026,T0086,0.897
S057,T0086,0.833
S018,T0086,0.688
S043,T0086,0.753
S003,T0086,0.92
S008,T0086,0.823
S007,T0086,0.914
S033,T0086,0.677
S027,T0086,0.927
S055,T0086,0.906
S011,T0086,0.646
S050,T0086,0.905
S072,T0086,0.916
S041,T0087,0.738
S028,T0087,0.934
S067,T0087,0.831
S007,T0087,0.899
S042,T0087,0.76
S055,T0087,0.819
S020,T0087,0.683
S001,T0087,0.768
S030,T0087,0.765
S070,T0087,0.665
S065,T0087,0.923
S024,T0087,0.799
S008,T0087,0.752
S032,T0087,0.651
S018,T0087,0.781
S045,T0087,0.713
S047,T0088,0.837
S021,T0088,0.664
S078,T0088,0.642
S029,T0088,0.672
S056,T0088,0.743
S053,T0088,0.797
S043,T0088,0.675
S020,T0088,0.703
S038,T0088,0.655
S044,T0088,0.895
S076,T0088,0.882
S062,T0088,0.678
S006,T0088,0.617
S054,T0088,0.644
S032,T0088,0.775
S026,T0088,0.608
S005,T0089,0.81
S068,T0089,0.856
S078,T0089,0.66
S011,T0089,0.61
S015,T0089,0.734
S002,T0089,0.605
S064,T0089,0.655
S075,T0089,0.75
S001,T0089,0.877
S051,T0089,0.738
S008,T0089,0.868
S036,T0089,0.771
S007,T0089,0.799
S076,T0089,0.883
S056,T0089,0.628
S018,T0089,0.702
S020,T0090,0.709
S021,T0090,0.663
S011,T0090,0.946
S066,T0090,0.883
S049,T0090,0.902
S077,T0090,0.693
S027,T0090,0.706
S004,T0090,0.801
S067,T0090,0.896
S078,T0090,0.76
S036,T0090,0.813
S014,T0090,0.87
S073,T0090,0.912
S025,T0090,0.777
S048,T0090,0.673
S074,T0090,0.739
S001,T0091,0.798
S002,T0091,0.923
S068,T0091,0.625
S052,T0091,0.623
S033,T0091,0.613
S051,T0091,0.622
S043,T0091,0.845
S031,T0091,0.851
S042,T0091,0.664
S063,T0091,0.751
S049,T0091,0.694
S066,T0091,0.731
S023,T0091,0.605
S034,T0091,0.865
S046,T0091,0.762
S069,T0091,0.873
S035,T0092,0.705
S022,T0092,0.755
S062,T0092,0.672
S070,T0092,0.743
S016,T0092,0.722
S080,T0092,0.708
S051,T0092,0.943
S065,T0092,0.642
S030,T0092,0.649
S007,T0092,0.792
S004,T0092,0.901
S068,T0092,0.778
S042,T0092,0.682
S059,T0092,0.848
S060,T0092,0.628
S078,T0092,0.853
S071,T0093,0.714
S077,T0093,0.649
S004,T0093,0.897
S024,T0093,0.85
S041,T0093,0.826
S050,T0093,0.605
S001,T0093,0.73
S029,T0093,0.919
S039,T0093,0.686
S051,T0093,0.895
S044,T0093,0.782
S057,T0093,0.667
S063,T0093,0.94
S015,T0093,0.652
S040,T0093,0.709
S002,T0093,0.881
S062,T0094,0.808
S006,T0094,0.639
S021,T0094,0.837
S024,T0094,0.745
S011,T0094,0.643
S059,T0094,0.734
S030,T0094,0.832
S020,T0094,0.939
S046,T0094,0.87
S077,T0094,0.607
S068,T0094,0.693
S047,T0094,0.654
S067,T0094,0.935
S001,T0094,0.673
S004,T0094,0.883
S031,T0094,0.872
S024,T0095,0.623
S027,T0095,0.78
S060,T0095,0.944
S053,T0095,0.69
S011,T0095,0.798
S054,T0095,0.687
S010,T0095,0.746
S061,T0095,0.685
S068,T0095,0.908
S073,T0095,0.736
S059,T0095,0.692
S003,T0095,0.824
S077,T0095,0.706
S064,T0095,0.897
S062,T0095,0.922
S071,T0095,0.671
S028,T0096,0.636
S038,T0096,0.658
S029,T0096,0.739
S055,T0096,0.636
S045,T0096,0.768
S035,T0096,0.944
S037,T0096,0.934
S073,T0096,0.797
S066,T0096,0.829
S005,T0096,0.75
S010,T0096,0.681
S059,T0096,0.667
S079,T0096,0.768
S041,T0096,0.808
S016,T0096,0.699
S062,T0096,0.842
S079,T0097,0.77
S016,T0097,0.676
S004,T0097,0.893
S030,T0097,0.769
S050,T0097,0.81
S059,T0097,0.666
S041,T0097,0.839
S076,T0097,0.931
S009,T0097,0.926
S013,T0097,0.683
S040,T0097,0.686
S036,T0097,0.608
S071,T0097,0.803
S027,T0097,0.83
S007,T0097,0.66
S080,T0097,0.948
S016,T0098,0.853
S030,T0098,0.849
S036,T0098,0.896
S048,T0098,0.694
S043,T0098,0.691
S063,T0098,0.85
S060,T0098,0.848
S017,T0098,0.813
S076,T0098,0.773
S031,T0098,0.787
S022,T0098,0.894
S047,T0098,0.919
S059,T0098,0.848
S027,T0098,0.653
S021,T0098,0.653
S066,T0098,0.834
S027,T0099,0.846
S016,T0099,0.871
S033,T0099,0.601
S049,T0099,0.787
S007,T0099,0.851
S024,T0099,0.765
S026,T0099,0.733
S030,T0099,0.79
S072,T0099,0.818
S050,T0099,0.611
S063,T0099,0.652
S014,T0099,0.754
S052,T0099,0.794
S012,T0099,0.719
S039,T0099,0.71
S020,T0099,0.846
S074,T0100,0.691
S044,T0100,0.755
S055,T0100,0.863
S059,T0100,0.725
S072,T0100,0.662
S043,T0100,0.818
S013,T0100,0.916
S032,T0100,0.813
S021,T0100,0.836
S036,T0100,0.622
S038,T0100,0.706
S027,T0100,0.859
S026,T0100,0.662
S003,T0100,0.615
S001,T0100,0.636
S018,T0100,0.608
S015,T0101,0.875
S075,T0101,0.924
S044,T0101,0.693
S035,T0101,0.774
S030,T0101,0.824
S071,T0101,0.87
S059,T0101,0.925
S003,T0101,0.627
S067,T0101,0.608
S073,T0101,0.66
S022,T0101,0.812
S074,T0101,0.793
S006,T0101,0.821
S040,T0101,0.899
S028,T0101,0.862
S018,T0101,0.609
S035,T0102,0.934
S028,T0102,0.743
S011,T0102,0.858
S018,T0102,0.672
S046,T0102,0.679
S077,T0102,0.651
S043,T0102,0.834
S017,T0102,0.812
S078,T0102,0.682
S031,T0102,0.713
S069,T0102,0.625
S045,T0102,0.854
S024,T0102,0.633
S049,T0102,0.711
S073,T0102,0.772
S012,T0102,0.898
S036,T0103,0.867
S056,T0103,0.667
S078,T0103,0.8
S006,T0103,0.878
S050,T0103,0.735
S071,T0103,0.78
S032,T0103,0.679
S025,T0103,0.941
S052,T0103,0.8
S026,T0103,0.657
S020,T0103,0.628
S034,T0103,0.656
S040,T0103,0.888
S057,T0103,0.634
S005,T0103,0.729
S043,T0103,0.717
S067,T0104,0.766
S030,T0104,0.687
S016,T0104,0.715
S043,T0104,0.878
S009,T0104,0.735
S037,T0104,0.639
S011,T0104,0.817
S003,T0104,0.917
S041,T0104,0.653
S075,T0104,0.649
S054,T0104,0.689
S035,T0104,0.881
S040,T0104,0.893
S013,T0104,0.686
S074,T0104,0.774
S033,T0104,0.834
S010,T0105,0.627
S071,T0105,0.867
S047,T0105,0.679
S060,T0105,0.684
S043,T0105,0.912
S023,T0105,0.933
S016,T0105,0.723
S045,T0105,0.601
S030,T0105,0.733
S027,T0105,0.849
S057,T0105,0.652
S008,T0105,0.656
S011,T0105,0.756
S066,T0105,0.907
S076,T0105,0.854
S028,T0105,0.727
S023,T0106,0.615
S068,T0106,0.888
S013,T0106,0.769
S014,T0106,0.7
S038,T0106,0.675
S053,T0106,0.625
S061,T0106,0.726
S045,T0106,0.753
S054,T0106,0.684
S050,T0106,0.936
S079,T0106,0.647
S015,T0106,0.625
S046,T0106,0.822
S060,T0106,0.931
S036,T0106,0.771
S022,T0106,0.807
S066,T0107,0.747
S013,T0107,0.787
S009,T0107,0.76
S043,T0107,0.631
S039,T0107,0.94
S062,T0107,0.761
S050,T0107,0.732
S001,T0107,0.949
S014,T0107,0.815
S032,T0107,0.923
S005,T0107,0.94
S075,T0107,0.862
S059,T0107,0.841
S077,T0107,0.749
S003,T0107,0.78
S071,T0107,0.678
S028,T0108,0.699
S045,T0108,0.627
S053,T0108,0.644
S048,T0108,0.668
S044,T0108,0.683
S067,T0108,0.759
S074,T0108,0.668
S040,T0108,0.878
S038,T0108,0.883
S006,T0108,0.811
S064,T0108,0.702
S054,T0108,0.83
S071,T0108,0.663
S029,T0108,0.609
S058,T0108,0.822
S011,T0108,0.811
S049,T0109,0.94
S011,T0109,0.669
S005,T0109,0.832
S047,T0109,0.89
S021,T0109,0.944
S034,T0109,0.753
S001,T0109,0.882
S022,T0109,0.82
S076,T0109,0.681
S008,T0109,0.653
S014,T0109,0.923
S036,T0109,0.722
S044,T0109,0.656
S017,T0109,0.876
S056,T0109,0.916
S067,T0109,0.713
S037,T0110,0.801
S001,T0110,0.734
S048,T0110,0.673
S032,T0110,0.931
S075,T0110,0.794
S047,T0110,0.908
S035,T0110,0.671
S041,T0110,0.895
S072,T0110,0.62
S031,T0110,0.701
S039,T0110,0.934
S045,T0110,0.848
S070,T0110,0.602
S015,T0110,0.892
S018,T0110,0.7
S053,T0110,0.704
S065,T0111,0.681
S042,T0111,0.757
S046,T0111,0.634
S024,T0111,0.875
S038,T0111,0.616
S064,T0111,0.797
S022,T0111,0.606
S079,T0111,0.88
S059,T0111,0.807
S061,T0111,0.734
S075,T0111,0.782
S025,T0111,0.833
S031,T0111,0.914
S009,T0111,0.867
S076,T0111,0.744
S011,T0111,0.782
S007,T0112,0.605
S064,T0112,0.631
S009,T0112,0.751
S077,T0112,0.64
S030,T0112,0.821
S078,T0112,0.899
S065,T0112,0.7
S062,T0112,0.896
S017,T0112,0.645
S073,T0112,0.888
S055,T0112,0.759
S039,T0112,0.742
S008,T0112,0.693
S047,T0112,0.846
S080,T0112,0.816
S011,T0112,0.816
S047,T0113,0.933
S079,T0113,0.694
S045,T0113,0.7
S030,T0113,0.67
S062,T0113,0.732
S029,T0113,0.872
S067,T0113,0.694
S073,T0113,0.648
S023,T0113,0.666
S014,T0113,0.876
S054,T0113,0.827
S080,T0113,0.876
S074,T0113,0.755
S038,T0113,0.935
S018,T0113,0.623
S050,T0113,0.725
S065,T0114,0.793
S052,T0114,0.703
S039,T0114,0.707
S070,T0114,0.766
S023,T0114,0.642
S034,T0114,0.811
S019,T0114,0.881
S011,T0114,0.857
S041,T0114,0.665
S008,T0114,0.699
S040,T0114,0.743
S044,T0114,0.723
S001,T0114,0.83
S054,T0114,0.948
S066,T0114,0.723
S012,T0114,0.794
S045,T0115,0.759
S001,T0115,0.837
S074,T0115,0.927
S021,T0115,0.665
S003,T0115,0.827
S033,T0115,0.837
S070,T0115,0.654
S009,T0115,0.736
S017,T0115,0.732
S016,T0115,0.721
S061,T0115,0.79
S002,T0115,0.739
S068,T0115,0.725
S008,T0115,0.882
S011,T0115,0.884
S015,T0115,0.612
S072,T0116,0.874
S059,T0116,0.69
S004,T0116,0.743
S032,T0116,0.711
S039,T0116,0.714
S063,T0116,0.677
S001,T0116,0.77
S022,T0116,0.611
S056,T0116,0.703
S061,T0116,0.906
S027,T0116,0.611
S062,T0116,0.811
S065,T0116,0.655
S037,T0116,0.656
S080,T0116,0.908
S015,T0116,0.89
S006,T0117,0.793
S079,T0117,0.862
S077,T0117,0.889
S016,T0117,0.707
S068,T0117,0.72
S009,T0117,0.908
S023,T0117,0.64
S052,T0117,0.684
S044,T0117,0.898
S066,T0117,0.944
S067,T0117,0.722
S053,T0117,0.885
S037,T0117,0.917
S076,T0117,0.78
S007,T0117,0.63
S055,T0117,0.854
S052,T0118,0.689
S044,T0118,0.848
S014,T0118,0.803
S058,T0118,0.691
S077,T0118,0.708
S005,T0118,0.824
S035,T0118,0.775
S050,T0118,0.888
S016,T0118,0.888
S047,T0118,0.782
S059,T0118,0.807
S001,T0118,0.613
S028,T0118,0.912
S072,T0118,0.731
S064,T0118,0.652
S048,T0118,0.624
S020,T0119,0.857
S024,T0119,0.668
S049,T0119,0.778
S036,T0119,0.806
S058,T0119,0.793
S045,T0119,0.705
S039,T0119,0.664
S079,T0119,0.765
S056,T0119,0.919
S022,T0119,0.745
S025,T0119,0.647
S055,T0119,0.757
S043,T0119,0.929
S059,T0119,0.742
S060,T0119,0.853
S054,T0119,0.771
S008,T0120,0.628
S016,T0120,0.611
S065,T0120,0.916
S005,T0120,0.916
S059,T0120,0.696
S004,T0120,0.885
S077,T0120,0.601
S071,T0120,0.866
S066,T0120,0.719
S013,T0120,0.819
S034,T0120,0.891
S025,T0120,0.941
S014,T0120,0.937
S009,T0120,0.795
S072,T0120,0.652
S043,T0120,0.626
